1849,10,13,21,57,36,44N50,0W34
1835,2,7,21,38,32,43N18,5E22
1854,1,10,18,34,8,48N10,6E28
1848,3,26,3,52,24,47N54,1E54
1814,3,21,1,35,16,49N 7,6E11
1824,1,12,0,35,12,48N42,6E12
1879,12,17,12,51,28,43N55,2E 8
1812,11,23,22,5,12,48N42,6E12
1811,12,18,8,35,12,48N42,6E12
1868,7,20,11,44,28,43N37,3E53
1829,9,23,21,30,36,48N 5,7E21
1809,12,20,0,57,4,45N11,0E44
1847,2,17,14,35,16,49N 7,6E11
1815,2,13,3,49,44,44N21,2E34
1816,3,10,18,35,16,49N 7,6E11
1876,2,13,11,2,8,47N28,0W32
1872,5,3,7,34,40,46N 9,1W10
1825,11,10,19,37,8,45N11,5E43
1864,11,15,16,30,36,48N 5,7E21
1875,7,30,20,57,36,44N50,0W34
1844,6,14,20,35,16,49N 7,6E11
1850,8,14,6,36,0,44N33,6E 0
1804,2,8,22,24,16,44N27,1E26
1841,3,5,22,53,40,42N58,1E35
1810,11,8,3,3,56,50N18,2E46
1824,11,11,21,35,52,47N15,6E 2
1835,1,1,4,29,0,48N35,7E45
1918,10,25,22,45,0,48N35,7E45
1909,8,1,17,5,40,49N26,2E 5
1821,11,10,3,22,24,47N54,1E54
1838,3,28,21,39,52,47N19,5E 2
1871,4,29,21,39,8,46N12,5E13
1835,7,11,7,34,8,48N10,6E28
1861,1,16,13,52,32,46N17,1E52
1864,8,30,12,37,8,45N11,5E43
1819,6,17,21,51,28,48N50,2E 8
1860,2,28,12,59,12,48N 1,0E12
1817,6,12,2,42,32,48N57,4E22
1851,12,4,16,18,0,36N47,3E 0
1845,12,10,6,37,8,45N11,5E43
1804,7,24,18,55,0,45N50,1E15
1918,5,11,15,0,0,43N37,1E26
1878,4,21,2,48,56,50N18,2E46
1842,3,7,21,37,8,45N11,5E43
1821,10,19,18,57,4,45N11,0E44
1889,8,7,3,16,24,48N 0,4W 6
1857,10,30,20,48,20,42N42,2E55
1856,1,20,19,18,0,36N47,3E 0
1879,9,28,5,43,40,48N18,4E 5
1821,9,8,4,45,32,49N34,3E37
1856,12,18,14,4,40,46N 9,1W10
1822,2,19,7,34,8,48N10,6E28
1810,8,30,12,59,40,43N14,0E 5
1849,4,28,19,36,0,44N33,6E 0
1837,9,6,7,5,16,49N 7,6E11
1886,3,7,1,59,12,48N 1,0E12
1895,5,10,14,50,40,44N27,1E26
1857,6,30,3,35,16,49N 7,6E11
1811,2,4,18,42,36,43N51,4E21
1844,11,30,10,53,16,46N49,1E41
1848,1,24,21,52,24,47N54,1E54
1874,11,20,3,4,20,49N 7,1W 5
1844,3,27,0,35,24,47N37,6E 9
1852,10,2,8,55,0,45N50,1E15
1832,1,28,9,35,16,49N 7,6E11
1844,6,3,7,2,8,47N28,0W32
1832,2,13,5,35,12,48N42,6E12
1854,9,7,13,39,20,48N46,5E10
1874,11,12,17,29,20,45N39,0E10
1884,2,9,9,34,40,46N 9,1W10
1873,7,27,22,57,36,44N50,0W34
1809,7,29,18,47,24,46N59,3E 9
1894,11,4,10,50,40,43N51,4E21
1804,1,9,11,46,0,44N31,3E30
1871,12,29,13,34,8,43N32,6E28
1853,2,14,5,12,32,48N57,4E22
1809,10,28,0,49,44,44N21,2E34
1817,2,13,15,43,40,48N18,4E 5
1871,12,1,11,21,28,48N50,2E 8
1845,10,28,13,1,48,46N19,0W27
1858,2,20,20,48,20,42N42,2E55
1844,7,26,5,35,12,48N42,6E12
1810,1,10,3,47,24,46N59,3E 9
1834,11,10,21,35,16,49N 7,6E11
1847,1,3,3,54,40,44N 1,1E20
1916,3,5,1,0,0,48N31,2W45
1825,6,5,7,39,52,47N19,5E 2
1808,10,17,5,48,56,50N18,2E46
1876,5,1,6,48,20,42N42,2E55
1855,7,28,0,50,28,47N 5,2E23
1845,3,9,23,10,56,47N40,2W44
1856,7,9,18,38,32,43N18,5E22
1839,1,13,0,44,28,43N37,3E53
1847,11,13,15,52,24,47N54,1E54
1820,9,16,18,35,12,48N42,6E12
1878,6,3,18,4,40,46N 9,1W10
1847,7,14,9,54,0,48N27,1E30
1849,6,11,16,51,40,49N26,2E 5
1833,8,4,7,43,40,48N18,4E 5
1858,6,25,9,41,4,49N46,4E44
1814,11,1,21,52,32,46N17,1E52
1820,5,28,22,51,28,48N50,2E 8
1864,7,11,6,17,32,47N38,6E52
1870,12,11,20,44,28,43N37,3E53
1874,5,25,15,57,4,45N11,0E44
1813,4,25,8,57,4,45N11,0E44
1874,8,1,4,37,8,45N11,5E43
1831,6,3,18,40,40,43N57,4E50
1847,11,9,4,57,36,44N50,0W34
1855,8,19,4,54,16,43N37,1E26
1816,5,10,16,45,40,47N48,3E35
1889,12,1,11,57,28,45N26,4E23
1822,7,11,17,11,0,48N31,2W45
1865,6,24,0,48,20,42N42,2E55
1852,7,10,18,52,8,45N11,5E43
1800,9,27,22,57,12,47N24,0E42
1850,11,7,19,42,36,43N51,4E21
1899,10,13,17,50,40,46N49,1E41
1888,9,30,6,34,8,43N32,6E28
1821,4,16,4,3,0,48N 4,0W45
1808,5,15,22,37,8,45N11,5E43
1856,12,5,7,37,48,46N40,5E33
1872,4,11,0,34,8,48N10,6E28
1852,2,20,9,54,16,43N37,1E26
1836,1,17,3,48,20,42N42,2E55
1850,3,13,5,40,40,43N57,4E50
1834,4,7,5,49,44,44N21,2E34
1849,10,27,17,35,24,47N37,6E 9
1843,9,22,0,42,36,43N51,4E21
1852,3,12,8,35,16,49N 7,6E11
# !Error! 1869,2,29,14,37,48,46N40,5E33
1841,4,6,20,39,52,47N19,5E 2
1863,3,28,0,37,48,46N40,5E33
1861,12,5,1,4,20,49N 7,1W 5
1862,11,26,1,54,16,44N27,1E26
1858,4,6,9,47,40,50N39,3E 5
1855,5,1,12,47,40,50N39,3E 5
1893,10,4,9,50,40,48N 1,0E12
1870,6,15,6,45,32,49N34,3E37
1852,1,28,5,50,48,49N54,2E18
1845,10,28,10,10,56,47N40,2W44
1916,4,22,7,0,0,46N40,5E33
1849,3,26,7,4,40,46N 9,1W10
1842,5,28,22,29,0,48N35,7E45
1848,10,31,7,23,16,46N49,1E41
1854,2,26,15,9,52,47N19,5E 2
1826,11,18,5,39,20,48N46,5E10
1832,6,4,17,36,0,44N33,6E 0
1849,12,24,4,38,32,43N18,5E22
1811,2,13,11,51,28,48N50,2E 8
1843,12,4,4,20,48,49N54,2E18
1849,2,17,16,40,40,46N18,4E50
1915,3,22,9,0,0,47N54,1E54
