1866,5,22,16,50,40,48N50,2E20
1925,10,12,22,0,0,48N50,2E20
1867,11,22,16,50,40,48N50,2E20
1924,1,2,14,0,0,48N50,2E20
1873,12,19,9,50,40,48N50,2E20
1886,4,5,17,20,40,48N50,2E20
1923,12,26,11,0,0,48N50,2E20
1876,2,28,13,50,40,48N50,2E20
1923,10,15,12,30,0,48N50,2E20
1876,5,4,3,50,40,48N50,2E20
1928,9,22,5,0,0,48N50,2E20
1876,7,30,10,20,40,48N50,2E20
1923,11,30,10,0,0,48N50,2E20
1877,2,27,5,50,40,48N50,2E20
1882,1,23,18,50,40,48N50,2E20
1927,6,17,18,30,0,48N50,2E20
1878,1,10,12,50,40,48N50,2E20
1924,2,19,13,0,0,48N50,2E20
1878,4,28,16,50,40,48N50,2E20
1925,2,5,15,20,0,48N50,2E20
1879,3,4,4,50,40,48N50,2E20
1925,5,24,16,0,0,48N50,2E20
1879,4,17,9,50,40,48N50,2E20
1884,6,8,6,50,40,48N50,2E20
1925,8,13,9,30,0,48N50,2E20
1879,7,31,0,5,40,48N50,2E20
1923,4,18,1,0,0,48N50,2E20
1879,9,29,22,50,40,48N50,2E20
1923,5,5,23,0,0,48N50,2E20
1880,2,22,5,50,40,48N50,2E20
1886,6,23,20,20,40,48N50,2E20
1930,4,18,10,0,0,48N50,2E20
1880,2,28,6,50,40,48N50,2E20
1883,8,12,12,20,40,48N50,2E20
1924,8,16,19,0,0,48N50,2E20
1880,6,2,10,50,40,48N50,2E20
1923,11,20,5,0,0,48N50,2E20
1880,7,18,7,50,40,48N50,2E20
1926,11,22,18,0,0,48N50,2E20
1880,7,19,20,50,40,48N50,2E20
1925,6,25,2,30,0,48N50,2E20
1880,11,14,6,20,40,48N50,2E20
1886,2,14,16,50,40,48N50,2E20
1926,4,23,17,0,0,48N50,2E20
1880,11,23,7,20,40,48N50,2E20
1890,9,27,2,50,40,48N50,2E20
1928,5,13,5,30,0,48N50,2E20
1880,11,26,7,20,40,48N50,2E20
1923,1,14,21,30,0,48N50,2E20
1925,1,28,2,45,0,48N50,2E20
1881,1,9,18,50,40,48N50,2E20
1887,10,21,7,50,40,48N50,2E20
1923,2,16,6,45,0,48N50,2E20
1881,1,18,6,50,40,48N50,2E20
1927,2,6,22,40,0,48N50,2E20
1881,1,22,6,50,40,48N50,2E20
1926,7,29,18,0,0,48N50,2E20
1881,2,8,18,50,40,48N50,2E20
1924,6,16,0,5,0,48N50,2E20
1926,11,14,15,15,0,48N50,2E20
1930,8,29,13,50,0,48N50,2E20
1881,5,19,23,20,40,48N50,2E20
1896,3,1,4,50,40,48N50,2E20
1926,8,15,3,0,0,48N50,2E20
1928,6,23,22,0,0,48N50,2E20
1881,7,18,4,50,40,48N50,2E20
1930,12,27,20,0,0,48N50,2E20
1881,10,9,7,50,40,48N50,2E20
1924,10,28,4,0,0,48N50,2E20
1881,10,10,21,50,40,48N50,2E20
1930,7,22,18,0,0,48N50,2E20
1881,10,30,19,50,40,48N50,2E20
1925,2,8,1,0,0,48N50,2E20
1881,11,13,5,50,40,48N50,2E20
1929,9,27,4,20,0,48N50,2E20
1882,1,24,18,50,40,48N50,2E20
1928,7,26,22,0,0,48N50,2E20
1882,2,17,1,50,40,48N50,2E20
1923,8,30,15,30,0,48N50,2E20
1882,2,23,10,50,40,48N50,2E20
1924,2,29,2,0,0,48N50,2E20
